Direction de la Pharmacie (1)
nom;forme;type;dosage
Havrix 1440;Susp. inj.;Bte d' une dose;1440 Unités
Hemoval comp;Co masticable;Bte de 5 plaquettes de 8;100 mg
Hemoval gttes;Gttes Sol. orale;Fl de 30 ml;50mg/ml
Heparine;Sol. Inj;Fl de 5 ml;25000 UI
Hiclomin 500;;;
Hiclomin 850;;;
Hipernal-10;;;
Hipernal-5;;;
Humalog;Sol. Inj;Fl de 10 ml;100 UI/ml
Humulin R;Susp. inj.;Boite de 1 Vial de 10 ml;100 Ui
Humylub ofteno PF;Goutte Ophtalmique;Fl de 10 ml;1.8 mg,1 mg
Hydralazine;Sol. Inj;Boite de 5;20 mg
Hydrex 25 fl de 100;;;
Hydrex 25 fl de 1000;;;
Hydrex 25 Fl de 20;;;
Hydrochlorothiazide 25 mg;;;
Hylaform 0.1% Single-Dose;Sol. Opht.;Gttes Opht.;1 mg/ml
Ialux;;;
Ibucrat 400;;;
Ibufar;Suspension Buvable;Fl de 120 ml;100 mg
Ibufar Plus;;;
Ibuflam 600 mg;;;
Ibumax P;Susp. orale;Fl de 100 ml;100 mg, 125 mg/5ml
Ibuprofen farmatrix;Sp;Fl 120ml;100 mg
Ibuprofen-Denk 600;;;
ibuprofene farmatrix Susp;Susp. orale;Fl 120ml;100 mg
Ibuprofène;Co enrobé;Bte de 100;400 mg
Ibuprofène farmatrix;Susp. orale;Fl 120ml;100 mg
IDON;Susp. orale;Fl de 100 ml;0.100 g
IDON 10;;;
IDON Gtte buvable;Gtte orale;Fl de 15 ml;10 mg/ml
Imatinib Denk Bte de 30;;;
Imidal Fl 30 ml;Poudre pour Susp orale;Fl de 30 ml;125 mg
Imilox 500;Sol. Inj;Fl de 100 ml;500 mg
Imlatin 500 mg;Pdre pr sol. inj. IV;Bte de 1;530.7 mg /530.1 mg
immun Active + D3 Denk;Stick;Boite de 30;300mg, 25 mcg, 50 mcg, 10 mg, 50 mg
Imot Ofteno;Goutte Ophtalmique;Fl de 15 ml;6.8 mg
Infanrix Hexa;Poude pour Susp. Inj.;Boite D'une Seringue;30 UI,40 UI,25 mcg,25 mcg,8 mcg,10 mcg,40 DU,8 DU,32 DU,25 mcg,10 mcg
Infladex;Goutte Ophtalmique;Fl de 10 ml;1.1mg,4.06mg,1mg
Inflavir;Sp;Fl de 90 ml;15 mg/ml
Invom;;;
Irofol;;;
Itinerol B6;;;
Itinerol B6 Bébés & Enfants;Supp.;Bte de 6;10 mg, 10 mg
Ixmu D;Goutte Ophtalmique;Fl de 5 ml;5 mg , 1 mg
Joint active denk;;;
K-mol;;;
Kadecol Adulte;Amp. buv.;Fl de 5 ml;120 000 UI,600 000 UI,5 mg
Kadecol Pediatrique;Amp. buv.;Boite de 1;72 000 UI ,360 000 UI ,3 ml
Kamox 125;Sp;Fl de 100 ml;125 mg
Kamox 250;;;
Kamox 500;;;
Kazol;Crème dermique;Tube de 20 g;0.210 mg
Kedrop;Collyre;Fl de 5 ml;50 mg
Keotan 150;;;
keotan 300;;;
Kerala - 16;;;
Kerala -H 16/12.5;;;
Kerala-8;;;
Kerala-H;;;
Ketofenex;;;
Ketoplus Shampoo;Shamp.;Fl 120ml;2 % ,  1 %
ketrel 0.05 %;Crème dermique;Tube de 30 g.;0.05 mg
Ketrodrops;Collyre;Fl de 5 ml;0.4%
Killacid suspension 250mg;Suspension Buvable;Fl de 120 ml;250mg,250mg,50mg
Klovat 50;;;
Klovat D;;;
Klovat Max;;;
Lamisil 1 %;Cr. derm.;tube de 15 g;100 mg
Lansopril - 30;;;
Laritox;Sp;Fl de 120 ml;150 mg ,5 mg ,2.5 mg
Laritox Multisintomas;;;
Leche Magnesia-Alpha;Sol. Orale;Fl de 360 ml;410mg/5ml
Lepcetam;Sp;Fl de 300 ml;100 mg
Leskera 5 mg;;;
Leskera M;;;
Letrozole-Denk 2.5;;;
Levanol-500;;;
Levo-Denk  250;Co enrobé;Boite de 10;250 mg
Levo-Denk 500;;;
Lexidrol;Sp;Fl. de 60 ml;15 mg
Libido Lady Denk cap;;;
Lipidex 10;;;
Lipidex 20;;;
Lipitin R;;;
Lipitin R 20;;;
Lisitrol alfa 5/10;;;
Lisitrol D;;;
Lisitrol-20;;;
Lisitrol-A-5-10;;;
Litacid Mast;Co masticable;Bte de 100;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Litaplex;Sp;Fl de 100 ml;2 mg, 2.54 mg, 2 mg, 20 mg, 6 mg, 75 mg
Lodyfen;Collyre;Fl de 5 ml;1 mg
Lonol-50;;;
Loperamide HCL 2  mg USP;;;
Lorasone;Goutte Ophtalmique;Fl de 5 ml;10 mg
Loratadina  Alfa;;;
losi 50;;;
Lovon 50;;;
LOWDEN;;;
Lubrik NF;Goutte Ophtalmique;Fl 10 ml;5.15 mg
Lumepred;Goutte Ophtalmique;Fl 10 ml;1.0%w/w
Lupoide  Depot 3.75;Poude pour Susp. Inj.;Vial de 0.5 ml (1 dose );3.75 mg
Lupoide Depot 22.5 mg;Pdre pr inj + solvant;Boite de 1;22.5 mg
Lupoide depot 7.5;Poude pour Susp. Inj.;Vial de 0.5 ml (1 dose );7.5 mg
Lyna;;;
Lyrica bte de 14;;;
Lysamol-160;;;
Lysamol-80;;;
Lysinex car;Sp;Fl de 120 ml;0.025 mg,500 mg ,25 mg, 500 mg, 6 mg,10 mg,5 mg,5 mg
Lysinex-B;Sp;Fl de 120 ml;500 mg, 500 mg, 25 mg,50mg,10 mg,25 mcg,6 mg,5 mg,5 mg
Lyvolex;;;
Maazi 500;;;
Mafucon;Crème dermique;tube de 15 g;2%
Mag 2;Sol. Orale;Fl;122mg
Magnacor;;;
Magnes DENK 150;GELULE;Boite de 50;150 mg
Magnes Direct Denk;;;
Magnés- active denk;Poudre Sublinguale;Boite de 30;300 mg
Malergo;;;
Man Active Denk;;;
Mannitol;Sol. Inj;FL   de 250 ml;20 % w/w
Manzanilla;Goutte Ophtalmique;Fl de 15 ml;0.250 mg
Meda;Sp;Fl 120ml;150 mg,150 mg,0.6 mg,0.1 mg,0.95 mg,5 mg,0.6 mg
Medampi 500;;;
Mederon;;;
Medicycline 250;;;
Medidox-100;;;
Medocillin 500;;;
Medomox 500;;;
Megaflex ocu;Goutte Ophtalmique;Fl de 5 ml;0.3mg/ml
Megamylase;Sp;Fl de 120 ml;0.12
Megamylase  Bte de 24;;;
Menactra;Sol. Inj;Fl de 0.5 ml;48 mcg
Meprasil;Pdre pr sol. inj. IV;Bte de 1;40 mg
Metformin 500;;;
Metformin-Denk 500;;;
Metformin-Denk 850;Co enrobé;Boite de 30;850 mg
Methotrexate 50 mg /2 ml;Sol.inj;Bte de 1 vial de 2 ml;25 mg/ml
Metoval;Sol. Orale;Fl 120ml;5 mg/5 ml
Metovin 500;;;
Metoxate Inj;Poude pour Susp. Inj.;Boite de 1;2.5 mg
Metrex-Plus cap;;;
Metrol;Susp. orale;Fl de 100 ml;125 mg/ 5 ml
Metrol Boite de 100;;;
Metromona;Ov. vag.;Bte de 100;500mg /100 000 UI
metronidazole;;;
Metronidazole inj;Sol.inj;Fl de 100 ml;500 mg
Mexaprin-20;Sol. Inj;Boite de 2;20 mg
Mexaprin-40;Sol. Inj;Boite de 2;40 mg
Mexaprin-60;Sol. Inj;Boite de 2;60 mg
Mexaprin-80;Sol. Inj;Boite de 2;80 mg
Micardis 80;;;
Micardis Plus;;;
Micinazol;Cr. derm.;Tube de 20 g;0.210 g
Micoxa;Sol cutanée;Tube de 100 ml;1.5 g
Micozole;Ov. vag.;Boite de 6;15 mg,400 mg,45 mg,100 mg,5 mg
Microgynon;;;
Migretil;;;
Milical;;;
Mioflex;Gel;Tube de 40 g;1.16g , 5g
Mioflex B;;;
Mioflex Boite de 100;;;
Miprost;;;
Mirena;Sterilet;Bte de 1;52 mg
Mirvala 21;;;
Mobic;;;
MOBIC 15;;;
Mobic 7.5;;;
Modusik-A-Ofteno;Goutte Ophtalmique;Fl de 5 ml;1 mg
Momate;Crème dermique;Tube 15 g;0.1%
Morphine sulfate;;;
Moxidel-500;;;
Mucobrom;Gtte orale;Fl de 30 ml;4mg 2.75mg
Mucolit;Sp;Fl de 120 ml;30 mg
Mucopax Gouttes;Gtte orale;Fl de 30 ml;0.8 mg
Mucopax Sucré Au Sorbitol;Sp;Fl 120ml;4 mg
Multitone Forte;;;
Multivitamine Alice Pharma;Sp;Fl de 100 ml;500 ui, 100 ui,1 mg, 0,5 mg,15 mg, 10 mg
Mumfer gouttes;Gtte orale;Fl de 15 ml;50 mg
Muxol-N;;;
Myofix;;;
Myolaxin-D gel;Gel dermique;tube de 15 g;27.5 mg, 200 mg, 105 mg, 50 mg, 50 mg, 12.18 mg
Myonaxol forte;;;
Méthotrexate;;;
Métoclopramide inj.;Sol. Inj;Boite de 5;5 mg
N/S gouttes;Gtte  nasale;Fl de 15 ml;9 mg
Na Cl 0.45 %  & Dextrose 5 % Alfa;Sol. Inj;Fl de 1000 ml;0.45 g  / 5 g
Nacalide;;;
Nafhiprom;;;
Naphacel ofteno;Collyre;Fl de 15 ml;1 mg /5 mg
Naprax;;;
Nasofix;Spray nasal;Fl de 15 ml;0.01%/0.9%
Natrixam 10/1.5;;;
Natrixam 5/1.5mg;;;
Nebac;Cr. derm.;tube de 15 g;3400UI,400UI
Nebacox;;;
Nebactrin;Crème dermique;Tube 15 g;6.76 mg 5.68 mg
Necin-3;Pom. derm.;Tube de 15 gm;5000 UI,400 UI,3400 UI
Neomol;Sol. Inj;Fl de 100 ml;10 mg/ ml (1000 mg)
Nerupol;;;
Nerupol  Sp;Susp. orale;Fl de 100 ml;120 mg
Netocur Balsamico;Suspension Buvable;Fl de 100 ml;4g,0.8 g,0.5 g,1g
Neumocort plus;Aerosol;Fl de 150 bouffées;160 mcg, 4.5 mcg
Neurax Preg 75;;;
Neurocol Bte 20;;;
Neurocure 75;;;
Nevral J;;;
Nexium 1 vial;Poude pour Susp. Inj.;Fl de 5 ml;5 ml
Nexium 20 mg;;;
Nexium 40 mg;;;
Nifedi-Denk 10 Retard;;;
Nifedicor retard 20;;;
Nifegard  20;;;
Nifegard 10;;;
Nifigard 60;;;
Nircip sol inj;Sol. Inj;Fl de 100 ml;200 mg/100 ml
Nistazole-Plus;Cr Vag.;Tube de 50 g;125000 UI/625 mg
Nitaxol;Sp;Fl. de 60 ml;100 mg/5 ml
No Mo Pain;;;
Nolvadex D;;;
Noosid 1000;Sol. Inj;Boite de 5;1000 mg
Nortenz;Sol. Opht.;Fl de 5 ml;2 mg
Novirex;;;
Novirex plus;Co enrobé;Boite de 30;10mg ,8mg
Novolin 70/30 penfill;Sol. Inj;Fl de 10 ml;100 UI
Novolin N;Sol. Inj;Fl de 10 ml;100 UI
Novolin R;Sol. Inj;Fl 10 ml;100 UI
Novotane Ultra Multidose;Goutte Ophtalmique;Fl de 5 ml;4 mg, 3 mg/ml
Novotane Ultra Single -Dose;Sol. Opht.;Fl de 1 ml;4 mg, 3 mg/ml
Nugel;Susp. orale;Fl 200 ml;200 mg ,250 mg,250 mg,125 mg,250 mg/5ml
Nugel-O;Suspension Buvable;Fl 200 ml;200 mg,250 mg,250 mg,30 mg,125 mg, 250 mg
Néo-latan;;;
Obridex;Goutte Ophtalmique;Fl de 5 ml;3 mg,1 mg
Occutin;Collyre;Fl 10 ml;0.5%
Ofalidra;Goutte Ophtalmique;Fl de 15 ml;5mg/1ml
Ofla-400;;;
Oftapred-OD;Collyre;Fl de 5 ml;0.2%
Ogynol;Sol cutanée;Fl de 480 ml;3%
Oksana;Sol. Opht.;Fl de 5 ml;1 mg/ml
Olopal;Collyre;Fl de 5 ml;2.244 mg
Omega Vita;Sp;Fl 200 ml;200 mg,1.2 mg,1.4 mg,1.7 mg,0.7 mg,35 mg,0.01 mg,2.21 mg
Omemax 20;;;
Omepral;;;
Omeprazol;;;
Omeprazole capsule;;;
Omeprazole capsule 20;;;
Omeprazole inj;Poude pour Susp. Inj.;Boite de 1;40 mg
Omeprazole sodium;Susp. inj.;Boite de 50 vials;40 mg
Omgel;Cr. derm.;Tube de 30 g.;10 mg, 11.60 mg, 30 mg, 50 mg, 100 mg
Omgel max;Cr. derm.;Tube de 30 g.;1%, 3.48%, 3%, 5%,10%
Omipraaz;;;
Oméprazole inj;;;
On-Setron-Denk 4 mg ODT;;;
On-Setron-Denk ODT(orodispersible) 8 mg;;;
Onediat;Ov. vag.;Boite de 1;0.600 mg
Oticine Gouttes;Goutte auriculaire;Fl de 15 ml;24 mcl,9.7 mg/ml
Otrivine 0.1%  spray nasal;Gtte  nasale;Tube  Nasal de 10 ml;1 mg
Otrivine 0.1% Nebuliser Adulte;Gtte  nasale;Fl 10 ml;1 mg
Otrivine enfant 0.05 %;Gtte  nasale;Fl 10 ml;0.05 %
Ovasafe;;;
Ovil-M;Ov. vag.;Bte de 7;20 mg , 500 mg
Ovol;;;
Ovol comp;Co à croquer;Boite de 50;80 mg
Ovol gel liquide;;;
Ovol gouttes;Goutte pediatrique;Fl de 15 ml;40 mg/ml
Oxa Forte;Co enrobé;Boite de 10;50 mg,51.20 mg
Oxa Uno;;;
Oxa-B;;;
Oxebral;;;
Oxebral sp;Sp;Fl 240 ml;200mg
Oxitin;;;
Oxyboldine;Co efferv;Bte de 24;0.5 mg, 54 mg, 132 mg
Paincare;;;
Paincare Gel;Gel dermique;Tube de 50 g;0.025 %,3 %,3 %,0.50 %,10%
Pamdol - 300;Sol.inj;Fl de 50 ml;300 mg
Pamdol 300;Sol. Inj;Fl de 100 ml;300 mg
Pamdol- 370;Sol. Inj;Fl de 100 ml;750 mg
pamdol-370;Sol. Inj;Fl de 50 ml;370 mg
Panto-Denk 20;;;
Pantoprazol 40;;;
paracetamol 500;;;
Paracetamol inj;Inj.;Fl de 100 ml;1%
paracetamol sirop;Sp;Fl de 120 ml;125 mg/5 ml
Paracétamol;;;
Paradol;;;
Parafortan bte de 100;Co enrobé;Bte de 100;50 mg,500 mg
Paramox;Gtte orale;Fl de 30 ml;700  mg/ ml
Parflex 600;;;
Penectil;;;
Peptica Gel;Gel;Fl de 200 ml;(225 mg, 200 mg, 50 mg)/5 ml
Peptigel;Susp. orale;Flacon de 225 ml;250 mg,250 mg,50 mg
Perinam Denk 4/10 mg;;;
Perinam Denk 4/5 mg;;;
Perinam denk 8/10 mg;;;
Perinam Denk 8/5 mg;;;
Phenergan 2 %;Crème dermique;Tube de 30 g.;2 g
Phenergan Amp;Sol. Inj;Boite de 5 Ampoules de 2 ml;2.5 g
Phenergan Co;Co enrobé;Bte de 20;25 mg
Phenergan Sp;Sp;Fl 150 ml;0.113 g/100 ml
Pheno 1/2 grain;;;
Phenobarbital  100 mg;;;
Pil Ofteno 4%;;;
Piroton fast 20;;;
Piroton Fast 40;;;
Plendil;;;
Plendil 10;;;
Plendil 5;;;
pneumosil;Susp. inj.;Boite de 10 vials;0,5ml
Pneumovax -23 vial;Sol. Inj;Boite de 1;25 mg/ chaque type
Polibutin;Co enrobé;Bte de 30;300  mg
Polibutin Fl de 150 ml;Poudre pour Susp orale;Fl de 150 ml;0.72 g
polibutin SR;Co enrobé;Bte de 20;300 mg
POLYGYNAX 2;Co vag.;Boite de 6;100 000 UI/35 000 UI/ 35 000 UI
POLYGYNAX VIRGO;Co vag.;Boite de 6;100 000 UI/35 000 UI/ 35 000 UI
Ponti ofteno;Collyre;Fl de 10 ml;5 mg
Potassol;Sol. Orale;Fl 120ml;500 mg
Povin Ointment;Pom. derm.;tube de 15 g;50 mg/g
Pradaxa 110;;;
Pradaxa 150 mg;;;
Pradaxa 75;;;
Pravil;;;
Pred NF;Goutte Ophtalmique;Fl de 5 ml;10 mg
Prednisona Alfa;;;
Prednisone-Alfa;;;
Pregabax-75;;;
Premarin;Cr Vag.;Tube de 40 g;40 mg
Prenac;;;
Prenatal-Denk + DHA;;;
Preoxid;;;
Prevenar 13;Susp. inj.;Bte de 1 seringue préremplie unidose 0.5 ml;2.2 mcg,4.4 mcg
Priorix;Sol. Inj;Fl avec vaccin lyophilisé + diluant en seringue pré-remplie + 1 aiguille séparées; 
Pro ivermectin 12;;;
Pro ivermectin 3;;;
Pro ivermectine 6;;;
PRO-Acetazolamide;;;
Pro-ferr;;;
pro-glyburide 5;;;
Pro-Luliconazole;Cr. derm.;Tube de 20 g;10 mg
Pro-misoprostol;;;
Prochlorazine;;;
Procto-Glyvenol Crème;Crème Rectale;Tube de 30 g.;5 g,2.12g
Procto-Glyvenol Supp;Supp.;Boite de 5;400 mg/40 mg
Prodigoxin;;;
Prodom;;;
Progynova Bte de 28;;;
Prometan;Sol.inj;Boite de 5 Ampoules de 2 ml;25 mg
Promixol R;Gtte orale;Fl de 30 ml;7.5 mg,0.005 mg
Promixol-R   Sp;Sp;Fl de 120 ml;7.5 mg,5 mcg
Propofan;Gél.;Boite de 1;400mg, 62.5 mg, 20 mg
Propran 40;;;
Prosvent-D;;;
Protilac;Poudre;Bte de 210 g;26 g /900 mg / 500 mg/ 0.3 mg/ 2.1 mg/ 40 mcg/ 8.4 mg/ 26 mg /800 mg/ 8.4 mg/ 1.2 mg/ 0.3 mg / 3100UI / 150 mcg/ 37 mg/ 80 mg / 8.6 mg/ 0.7 mg / 3.5 mg/ 500UI
Protinaaz;Sp;Fl de 100 ml;5 mg,0.1 mg,15 mg,2.5 mg,500 mg,10 mg,0.5 mg,0.5 mg,4.5 mg,10 mg
Protinaz;Sp;Fl de 100 ml;500 mg, 15 mg, 1 mg, 0.5 mg, 10 mg, 10 mg, 0.5 mg, 2.5 mg, 5 mg, 0.1 mg
protopan-40;Co enrobé;Boite de 30;4omg
Proviron;;;
Prunta 1.5;;;
Prurica Pomm;Pde rectal;Tube de 20 g. + un applicateur;5 g., 1 g.
Prurica supp;Supp.;Boite de 1 plaquette de 7;100 mg/2.5 mg
Pulmofor;Sp;Fl 200 ml;25 mg
Quinaderm;Cr. derm.;Tube de 25 g;0.61mg,1mg,10mg,10mg
Rabishield-100;Sol. Inj;vial de 2.5 ml;100 UI/2.5 ml
Rabivax-S;Pdre pr inj + solvant;Fl de 1 ml;2.5 UI
Ragovit;Sp;Fl 200 ml;100 mg,3 mg,3 mg,20 mg,10 mcg,20 mg,20 mg
Rapiblok;Goutte Ophtalmique;Fl de 5 ml;5mg/ml
Rapidal Bte de 100;Co enrobé;Bte de 100;600 mg
Rapidal suspension;Susp. orale;Fl de 100 ml;100 mg/5 ml
Recharge Active Denk;Poudre Sublinguale;Bte de 12;40 mg,300 mg,150 mg ,5 mg ,0.70 mg ,0.70 mg
ReComulin -N;Sol.inj;Vial de 10 ml;100 UI
Recomulin 30/70;Sol. Inj;Vial de 10 ml;100 UI
ReComulin-R (regular);Sol. Inj;Vial de 10 ml;100 UI
Redoxon (saveur orange)  1030.928 mg;Co efferv;Bte de 36;1030.928 mg
Redoxon (saveur orange) co effer;;;
Redoxon double  Action (Boite de 12);Co efferv;Boite de 12;1030.928 mg
Redoxon double action (saveur orange) Boite de 36;Co efferv;Bte de 36;1030.928 mg,32.019 mg
Relger;;;
Repoitin 2000;Sol.inj;Bte de 1 seringue préremplie unidose 0.5 ml;2000 IU/0.5 ml
Repoitin 4000;Sol. Inj;Seringue preremplie 0.4 ml;4,000 IU
Resfridol;Sp;Fl de 120 ml;8 mg,5 mg, 3  mg
Respira;Sp;Fl de 100 ml;15 mg,1 mg,50 mg
Respira liquide;Sp;Fl de 100 ml;15 mg, 1 mg
Respira-D;Sp;Fl de 100 ml;10,2
Retin-A 0.025 %;Crème dermique;Tube de 40 g;0.025 g
Retin-A 0.05 %;Crème dermique;Tube de 40 g;0.05 g
Revive;;;
Rhadeksol;Sol. Orale;Fl de 5 ml;120.000 UI, 600.000 UI, 5mg/5ml
Ringer lactate   Fl de 1000;Sol.inj;Fl de 1000 ml;27 mg,40 mg,600 mg,320 mg/100 ml
Ringer Lactate Segun Hartman Alfa;Sol. Inj;Fl 1000 ml;20  mg, 30  mg, 600 mg
Ritmol 100;;;
Ritmol 50;;;
Roaccutan 10 mg;;;
Roaccutan 20 mg;;;
Robinaxol;;;
Robinaxol D;;;
Robocid;Co masticable;Bte de 100;250 mg, 250mg
Rocephin;;;
Rocephin (lidocaïne);Sol.inj;vial de 2.5 ml;2.5 ml
Rocmaline;Sol. buvable;Boite de 20 Ampoules de 10 ml;`1500 mg,413 mg
Rodaz-500;;;
Rosucor 10;;;
Rosucor 20;;;
Rosucor 40;;;
Rotarix;;;
Rotasil-liquide;Vial;Amp.inject;2ml/dose
Rotin 120;;;
Rotin 90;;;
Rowachol;;;
Rowachol  caps;;;
Rowatinex;;;
Rowefer Folic;Sp;Fl 120ml;0.132 mg,95.250 mg
Rub A-535;Crème dermique;Tube de 100 g.;3%,0.50 %,1.25 %,12.50 %
Rux 10;;;
S-prazo 40;;;
Salbutol;;;
Salcal;;;
Sayana Press;Susp. inj.;Bte de 200;16
Sayana Press Boite de 1;Susp. inj.;Bte de 1;104 mg/0.65 ml
Saynol-5;;;
Scaboma crème;Crème dermique;Tube de 25 g;1 %,  2 %
Scaboma Lotion;Lotion;Fl de 100 ml;1%
Sedopeptine;Poudre pour Susp orale;Boite de 130 g;50.3 g , 3.2 g, 26 g
Sedopeptine Poudre;Poudre pour Susp orale;Boite de 130 g;50.3g, 3.2 g, 26 g
Sedoxil;;;
Serum Anti-Tétanique;Sol. Inj;Boite de 1;1500 UI/ml
sexteen;;;
sexteen 65;;;
Shemol;Goutte Ophtalmique;Fl de 15 ml;5 mg
Simvast-20;;;
Simvast-40;Co enrobé;Bte de 30;40 mg
Sindax;;;
Sinedol;Supp.;Bte de 100;300 mg
Sitamin DENK 50/1000;;;
Sitamin DENK 50/850;;;
Sodium chloride 0,9% and glucose 5%;Sol. Inj;Fl de 500 ml;900 mg, 5000 mg
Sodium de chloride;Sol.inj;Fl de 100 ml;0.9% w/v
Sodium lactate;Sol. Inj;Fl de 500 ml;600 mg, 320 mg,40 mg,22mg
Soluprost;;;
Somno;;;
Sophixin Ofteno;Collyre;Fl de 5 ml;3 mg
Soulagex;;;
Sovit-C;Sp;Fl de 120 ml;500 mg/5 mg
Spasmag;Amp.;Boite de 30;100 mg,118 mg
Spasmo-K;;;
Spasmoty;;;
Spiolto Respimat;Sol. pr Inhalation;Boite d'un Inhaler et d'une Cartouche;2.5 mcg,2.5 mcg
Spiriva respimat;Sol. pr Inhalation;Boite de 1;0.005 mg
Spitone-25;;;
Statica ovule;Ov. vag.;Bte de 7 Ov. + 7 applicateurs;90 mg
Stimol;;;
Stugeron Forte;;;
Subrox -C;Gtte orale;Fl de 30 ml;3 mg/0.002 mg
Subrox -C Sp;Sp;Fl de 120 ml;15 mg,0.01 mg
Subrox Forte;Sol. Orale;Fl 120ml;15 mg,100 mg
Succina;Goutte Ophtalmique;Fl de 5mg;5mg/ml
Sudermal Plus;Ov. vag.;Bte de 7;200 mg,200 mg
Sufer;Sol. Inj;Boite de 5;20 mg
Sugest-100;;;
Sugest-200;;;
Sulfate ferreux;Co enrobé;Fl de 1000;200 mg
Sulide;;;
Sultrimax- 960;;;
Sumox;Suspension Buvable;Fl de 90 ml;250 mg/8 mg
Super Kids;Gtte orale;Fl de 30 ml;14 mg,0.125 mg,8.8 mg ,0.014 mg,0.0008 mg,0.150 mg,0.007 mg,0.011 mg,0.287 mg,0.287 mg,0.402 mg,3 mg,0.23 mg,3.45 mg,1.035 mg,0.004 mg
Supirocin-B Ointment;Pom. derm.;tube de 15 g;2 %, 0.05 %
Supraflox;;;
Sutrimin;Cr Vag.;Tube de 50 g;2.50 mg,2.50 mg,2.50 mg,2.50 mg
Syd Tam;;;
Syd-aci;;;
Syd-aci  400;;;
Symbicort Rapihaler;Aerosol;Boite de 120 doses;160 mcg,4.5  mcg /dose
Symbicort turbuhaler;Aerosol;Bte de 1 inhal. De 60 doses;160 mcg, 4.5 mcg
Synergon;Amp.;Bte de 3 fl de 2 ml;10 mg, 1 mg
Synox 175;;;
Synox 200;;;
Synox 88;;;
Tadala- denk;;;
Tadala-Denk Bte de 4;;;
Tamlax;;;
Tampas-F;;;
Tamspas - 0.4;;;
Tamspas-D;;;
Tamspas-F;;;
Tancillin-250;Pdre pr inj + solvant;Boite de 1 vial de 7.5ml;250 mg
Tanclox- 500;;;
TANMOX-125;Pdre pr Susp. orale;Fl de 100 ml;125mg/5mg
Tanmox-250;Pdre pr Susp. orale;Fl de 100 ml;250mg/5ml
Tanmox-500;;;
Tapel-10;;;
Tecassol Co;Co enrobé;Boite de 30;30 mg
Tecassol- NH;Crème dermique;Tube de 10 g;1 g, 0.60 g, 1 g / 100 g
Temorel-250;;;
Temptal;Co masticable;Bte de 100;500 mg
Tenolax 50;;;
Tenolex;;;
Tenormin;;;
Tenormin 100;;;
Tensional 50;;;
Tetracycline hydrochloride;Pommade Opht.;Tube de 5 g;1%
TFson;;;
Thixim-1 g;Pdre pr sol. inj. IV;Fl de 15 ml;1 g  (Vial )
Thymair denk;;;
Tiazide 25;;;
Tilvit;Sp;Fl de 120 ml;5 mg, 3 mg, 1.5 mg, 25 mg, 5 mg, 2.5 mcg, 0.75 mg, 40 mg, 2500 IU, 200 IU
Tilzole;Susp. orale;Fl de 100 ml;100 mg
Timolex--D;Collyre;Fl de 5 ml;5ml
Tobraxa;Goutte Ophtalmique;Fl de 5 ml;0.3%
Tocap;Co enrobé;Bte de 100;25 mg
Tol 12;Sol. Orale;FL   de 250 ml;0.30 mg,1000 mcg,0.30 mg
TOL-12 FORTE;;;
Toltotal;Sp;Fl de 100 ml;"900 mg ; 8 mg ; 100 mcg ; 1.7 mg ; 70 mg ; 28 mg ; 20 mg  ; 18 mg ; 29.41 mg ; 220 mg"
Toprimsul-480;;;
Toprimsul-960;;;
Toras-Denk 5;;;
Tot'Héma;;;
Trajenta;;;
tramacet Boite de 40;;;
Tramadol  Denk;Sol.inj;Bte de 5;100mg
Trex;;;
Trex 500;;;
TREX FORTE;Poudre pour Susp orale;Fl de 20 ml;13.0544 g
Trichoderm;Cr. derm.;Tube de 20 g;10 mg, 0.653 mg, 1.7 mg
Tricol DS;;;
Triofan gttes;Gtte  nasale;Fl 10 ml;0.5 mg,5 mg
Triofan Spray;Spray nasal;Fl de 10 ml;1 mg, 10 mg
TRIOVAL;Susp. orale;Fl de 100 ml;125 mg,30 mg,2 mg
Trioval Dia y Noche;;;
Triumeq;Co pelliculé;Bte de 30;50 mg, 600 mg, 300 mg
Trival Dia / Noche;;;
Trixone;;;
Tromic;;;
Tromic Sp;Sp;Fl de 30 ml;200 mg
Turbocaïne;;;
Tussex;Sp;Fl 120ml;100 mg
Tussibron (sans sucre);Sp;Fl de 120 ml;50 mg
Tussibron Antigrippal;;;
Tussibron Compuesto;Suspension Buvable;Fl. de 60 ml;250 mg/4 mg
Twynsta 10/80;;;
Twynsta 5/80;;;
Typbar  TCV;Sol. Inj;Vial Multidose  De 2.5 ml;25 mcg /Dose de 0.5 ml
Ultrafen sp;Sp;Fl 60 ml;120 mg
Underan;Cr. derm.;Tube de 15 gm;2 g
Uniplus;;;
Uniplus suspension;Poudre pour Susp orale;Fl. de 60 ml;100 mg/5 ml
Univagil LP 150 mg;Ov. vag.;Boite de 1;150 mg
Unizol;;;
Uvimag B6;Amp. buv.;Bte de 20;1895 mg, 40 mg
Vaccin Antitétanique Adsorbé;Poude pour Susp. Inj.;Boite de 50 vials de 10 doses;? 5 Lf  (  ? 40 IU )
Vaccin Antitétanique Adsorbé  (1 dose);Sol.inj;Vial de 0.5 ml (1 dose );sup ou égal à 5 Lf(sup ou egal à 40 UI)
Vaccin Antitétanique Adsorbé (10 doses);Sol. Inj;Boite de 50 vials de 10 doses;sup ou egal à 5 Lf(sup ou egal à 40 Ui)
